"","coop_id","total","share"
"1",1,9.86e+11,0.0126398912918071
"2",2,1.84e+12,0.0235876267514454
"3",3,1.02e+12,0.0130757496122143
"4",4,1.02e+12,0.0130757496122143
"5",5,5.5e+11,0.00705064930070378
"6",6,1.45e+13,0.185880754291282
"7",7,7.68e+11,0.00984527029625546
"8",8,1.21e+12,0.0155114284615483
"9",9,6.37e+11,0.00816593382645147
"10",10,1.05e+12,0.0134603304831618
"11",11,3.38e+12,0.043329444793416
"12",12,5.39e+11,0.00690963631468971
"13",13,6.94e+11,0.00889663748125168
"14",14,6.23e+11,0.00798646275334265
"15",15,2.96e+12,0.0379453126001513
"16",16,3.01e+12,0.0385862807183971
"17",17,1.12e+13,0.143576858487059
"18",18,1.62e+12,0.0207673670311639
"19",19,6.4e+12,0.0820439191354622
"20",20,4.35e+12,0.0557642262873845
"21",21,1.72e+13,0.220493032676555
"22",22,2.45e+12,0.0314074377940441
